Class count metrics,Wed, 5 Nov 2025 12:29:11 KST
Package,C,C(rec),Cp,Cp(rec),Ct,TC(rec)
,n/a,35,n/a,35,n/a,0
org,n/a,35,n/a,35,n/a,0
org.newdawn,n/a,35,n/a,35,n/a,0
org.newdawn.spaceinvaders,7,35,7,35,0,0
org.newdawn.spaceinvaders.entity,5,5,5,5,0,0
org.newdawn.spaceinvaders.firebase,11,11,11,11,0,0
org.newdawn.spaceinvaders.items,8,8,8,8,0,0
org.newdawn.spaceinvaders.settings,2,2,2,2,0,0
org.newdawn.spaceinvaders.ui,2,2,2,2,0,0

Module,C,Cp,Ct
space_invaders,35,35,0

Project,C,Cp,Ct
project,35,35,0

