Class count metrics,Mon, 10 Nov 2025 11:38:55 KST
Package,C,C(rec),Cp,Cp(rec),Ct,TC(rec)
,n/a,47,n/a,47,n/a,0
org,n/a,47,n/a,47,n/a,0
org.newdawn,n/a,47,n/a,47,n/a,0
org.newdawn.spaceinvaders,8,47,8,47,0,0
org.newdawn.spaceinvaders.entity,6,12,6,12,0,0
org.newdawn.spaceinvaders.entity.movement,6,6,6,6,0,0
org.newdawn.spaceinvaders.firebase,15,15,15,15,0,0
org.newdawn.spaceinvaders.items,8,8,8,8,0,0
org.newdawn.spaceinvaders.settings,2,2,2,2,0,0
org.newdawn.spaceinvaders.ui,2,2,2,2,0,0

Module,C,Cp,Ct
space_invaders,47,47,0

Project,C,Cp,Ct
project,47,47,0

