Chidamber-Kemerer metrics,Wed, 5 Nov 2025 12:25:53 KST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.newdawn.spaceinvaders.Game,13,3,1,0,152,182
org.newdawn.spaceinvaders.Game.EnemyShotEntity,3,2,1,0,11,5
org.newdawn.spaceinvaders.Game.KeyInputHandler,5,2,1,0,16,44
org.newdawn.spaceinvaders.Sprite,3,1,1,0,15,7
org.newdawn.spaceinvaders.SpriteStore,3,1,2,0,21,5
org.newdawn.spaceinvaders.SystemTimer,2,1,2,0,7,6
org.newdawn.spaceinvaders.entity.AlienEntity,8,2,1,0,40,71
org.newdawn.spaceinvaders.entity.AlienEntity.AlienType,2,n/a,2,n/a,2,0
org.newdawn.spaceinvaders.entity.Entity,7,1,3,4,20,11
org.newdawn.spaceinvaders.entity.ShipEntity,4,2,2,0,6,6
org.newdawn.spaceinvaders.entity.ShotEntity,3,2,2,0,6,6
org.newdawn.spaceinvaders.firebase.FirebaseManager,6,1,3,0,111,171
org.newdawn.spaceinvaders.firebase.LoginDialog,2,6,1,0,32,9
org.newdawn.spaceinvaders.firebase.MainMenu,6,6,2,0,65,16
org.newdawn.spaceinvaders.firebase.RankingDialog,2,6,1,0,35,11
org.newdawn.spaceinvaders.items.DoubleScoreItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.items.DualFireItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.items.GameItem,7,1,5,4,6,6
org.newdawn.spaceinvaders.items.InvincibilityItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.items.ItemManager,6,1,2,0,35,44
org.newdawn.spaceinvaders.items.ItemManager.Effect,2,n/a,2,n/a,2,0
org.newdawn.spaceinvaders.items.ItemRegistry,7,1,1,0,10,2
org.newdawn.spaceinvaders.items.PlusLifeItem,2,2,0,0,2,1
org.newdawn.spaceinvaders.settings.SettingsDialog,2,6,1,0,26,5
org.newdawn.spaceinvaders.settings.SettingsManager,3,1,1,0,17,5
org.newdawn.spaceinvaders.ui.StoreDialog,4,6,1,0,96,38

